ticker,alpha_1,alpha_2,alpha_3,alpha_4,alpha_5,alpha_6,alpha_41,alpha_52,alpha_53,alpha_54,price_change
CI,3.1211453744493394,0.0859472614123605,0.10363347883896791,-5.269709543568465,-12771.020833333334,0.06217232285964389,14.128265217825845,19.32000732421875,3.2869829187465767,-0.48720123069089954,-1.2960865005710882
BDX,3.075221238938053,0.031998025624644974,0.024803085534017333,-5.095435684647303,-12456.470833333333,0.04089724677005769,-3.986984178419126,-6.92999267578125,-6.451886149280138,-0.4967818615683098,0.023664875510838117
MS,3.094713656387665,0.031501486044016175,0.0014160155754599612,-5.174273858921162,-13248.629166666668,0.03035675563055047,2.7347496283893986,8.910003662109375,-5.785743201899931,-0.5102457991858633,6.964283897763207
LOW,2.9026548672566372,0.06761269071844064,0.04473792806253417,-4.850622406639004,-12863.941666666668,0.038692797289142836,2.6000235426409213,-14.25,-0.5686178767349591,-0.49841730685321084,4.164584730731788
GE,3.0442477876106193,-0.10664079312252513,0.12938752836576342,-5.556016597510373,-12376.170833333334,0.1428909250537151,4.4722595574121655,4.3575439453125,12.890367213789384,-0.5086267474364333,4.355649877607142
F,3.0707964601769913,0.11243777967644328,0.07305374460409422,-4.970954356846473,-12537.7875,0.06736966988097144,-0.4793039075317052,0.5100002288818359,2.1136453781343603,-0.5054361613951097,0.07861065249690599
DUK,2.905286343612335,0.1435562164187061,0.02561846642324482,-5.049792531120332,-12521.904166666667,0.03979030566599514,-4.117334997015953,1.5,-1.8079735090246034,-0.4963880822453041,-1.7350889125030102
SO,3.0726872246696035,-0.026533002888273757,0.11337443257082212,-5.282157676348548,-12794.195833333333,0.09418449254944923,-2.0972957423404477,1.1699981689453125,-4.309326279950903,-0.501651684729672,0.7495848260198358
C,2.9317180616740086,-0.01063878613648758,0.040628710841930864,-4.780082987551867,-12547.608333333334,0.06202908580254628,-0.9308397378356095,3.0600013732910156,0.7849603924007601,-0.4986915024423825,7.652625404686321
AXP,2.962555066079295,0.066544292620809,0.09930408331979183,-5.070539419087137,-12613.483333333334,0.12163109056458375,-2.3185244792935378,13.349990844726562,2.2200973893737483,-0.4937858529036403,2.023082114424631
GM,3.061946902654867,0.06710289337596825,0.15891122702838562,-5.095435684647303,-12897.829166666666,0.1679550670629127,-0.10140562058934847,5.189998626708984,4.038132247909001,-0.4905059111891819,-1.119501025206576
USB,3.0330396475770924,-0.03473331314549983,0.06050904322651675,-4.759336099585062,-11554.658333333333,0.04625202013177332,-2.1132394941353096,1.8599967956542969,-30.948183034210068,-0.5093040300774897,-1.1794495266604592
INTU,3.1283185840707963,0.024603928761061277,0.1111023983665499,-5.095435684647303,-12992.629166666668,0.10312550086994494,-1.6607441229436184,28.8900146484375,-1.1585916611206928,-0.5038079405274994,-0.4789541457469625
AMT,3.002202643171806,-0.07349627773742796,0.04745027801253941,-4.788381742738589,-12116.979166666666,0.03256568313508483,-13.703297291660357,-12.119979858398438,-20.89877593067,-0.4758737368530157,-0.0815999149286832
WFC,3.106194690265487,-0.07786209028570243,0.10143455963866468,-4.954356846473029,-12667.770833333334,0.12980447846840193,-0.30192641335450576,3.1200027465820312,-0.19327409410043317,-0.49213910144471845,8.387258022738676
RTX,3.037117903930131,0.12027646015315543,0.1604585461610516,-5.004149377593361,-12751.245833333332,0.1531495597322974,0.02059839331021644,-3.2999954223632812,7.771697656957426,-0.489244148256593,5.0592258347435815
BLK,3.0442477876106193,-0.07933499126156636,0.09273456477631828,-4.775933609958506,-12775.733333333334,0.10247527292286465,16.54829598520152,33.96002197265625,-3.488623268649877,-0.4902839564721167,5.18475062788545
SPG,2.8876651982378854,0.10534104470546755,0.09513133506461005,-4.91701244813278,-12338.775,0.09086396052872206,0.12436176769450416,-15.839996337890625,-4.365841850902183,-0.5128534925447658,1.5881759145106686
CL,2.909691629955947,0.018206091494133388,0.1799071149840613,-5.08298755186722,-13267.804166666667,0.15813273859775895,-1.3986785166458715,-0.6899871826171875,-0.12901296715602206,-0.4935918117276772,0.5323416677243304
PLD,3.088495575221239,0.015223140453716684,0.20711854275141864,-5.045643153526971,-11374.325,0.18810573244886744,-6.940569688876055,5.129997253417969,-3.6563098737686195,-0.4889723927982573,-0.02424339729656525
MET,3.1403508771929824,0.03806654588769077,0.20415536106792936,-4.941908713692946,-12228.316666666668,0.18959640315417114,0.9455604938149011,0.18000411987304688,0.8859648263587954,-0.47975976270983306,3.0766675271327397
MMC,2.944933920704846,0.08207671820220544,0.06059171535927462,-5.1120331950207465,-13355.175,0.033166852581089236,0.7418406010270828,-11.6400146484375,-4.155768722648178,-0.5007441178156563,4.020694885215574
MDT,2.809734513274336,0.16497365665606215,0.0481897229908529,-4.821576763485477,-12266.645833333334,0.060821293880624336,-7.4466363425075475,-1.8300018310546875,-23.152648746261704,-0.5034161325927357,1.7572329257825525
ZTS,2.9513274336283186,0.06355488386231409,0.09775331487488485,-4.975103734439834,-12370.166666666666,0.09534803943232419,-5.41001477731056,0.839996337890625,-0.7513295322866337,-0.4841605109801549,2.095161194684544
KMB,2.9166666666666665,-0.07463362226037101,0.16554177315857743,-5.020746887966805,-12486.741666666667,0.15198002823925835,-1.5764164496123867,-10.410003662109375,-2.616867804133722,-0.5135848511205303,2.3308904865389057
EQIX,2.892070484581498,-0.012293801148617393,0.022040850140373738,-5.066390041493776,-12275.516666666666,0.054577589105466624,-4.746920407594143,22.67999267578125,-2.516567667778603,-0.486598849962436,-0.09628351342092445
REGN,2.9911504424778763,-0.0568564339020174,0.04719109620304393,-5.037344398340249,-12642.633333333333,0.045563587818955746,31.430679386593223,20.75994873046875,-3.7576668975212457,-0.4840347059820381,-1.9119646272318034
GD,2.9933920704845813,0.049401024160118476,0.18289022758835377,-4.975103734439834,-12080.133333333333,0.20464605215044465,1.3322312773143832,5.07000732421875,2.350448076374938,-0.483833144519763,0.3972947609626287
ICE,3.0575221238938055,0.08436082640002998,0.16802327925872973,-5.020746887966805,-12374.7375,0.1455113497475086,-2.234731676247808,-17.040000915527344,-1.9884173408522694,-0.4917041587633612,1.043429816704473
CSX,2.9537444933920707,0.18493797244601987,0.1373944506677711,-4.734439834024896,-12435.466666666667,0.12384009902706737,-0.810098377964282,1.739999771118164,-0.18464051657550995,-0.486105578171927,1.4004670873603204
EMR,3.0088495575221237,0.061687379669734844,0.19487585508608504,-5.203319502074689,-12424.6125,0.18006027299720576,-0.06775608431982791,14.459999084472656,-2.0145381111760137,-0.5130493500772549,3.339253755749149
CCI,2.9405286343612334,0.037096702456284,0.14150981334305765,-4.601659751037344,-11320.254166666668,0.15805363703993802,-14.085941560587885,-8.370025634765625,-11.318966086671091,-0.48960355986762966,-1.208782513305329
VRTX,2.9424778761061945,-0.0541271991450642,-0.05854726846442116,-5.04149377593361,-12668.045833333334,-0.05632524046850141,11.73869017372001,-12.510040283203125,-6.950866724351265,-0.5127667422727314,0.5908933670999275
APD,3.061946902654867,-0.06721249493004201,0.022343972653648642,-5.132780082987552,-13592.983333333334,0.08129438629247308,16.62333165433445,-29.370025634765625,-0.9347862142289628,-0.5139502685946212,1.534772683175999
ADI,2.9911504424778763,0.07089366110975256,0.001752417662043589,-5.4896265560165975,-12895.458333333334,-0.0015223253843973717,5.376829190346684,22.319961547851562,-4.864436739735623,-0.49548609719000813,-0.7174627594044126
APTV,2.8716814159292037,-0.01653494648257616,0.08580611596980826,-5.074688796680498,-13145.8875,0.09520272060358066,0.9793505952762008,23.639991760253906,-1.1534122294785218,-0.49602379682712133,3.038150191297898
TJX,2.9469026548672566,-0.07062028118995027,0.15743003688280183,-5.203319502074689,-13180.558333333332,0.1439852139886716,5.958135651517406,-7.1400146484375,-0.36335892298276024,-0.4956459643391153,-0.791011914918718
AEP,2.8893805309734515,-0.021119148763261233,-0.047222971998916057,-5.219917012448133,-12877.4875,-0.06390576467301438,-2.331684637560174,-2.7000045776367188,-8.23273179515469,-0.5055863506865886,-2.0859817553746676
NOC,2.982608695652174,0.018368420891565634,0.17217028704958845,-5.224066390041494,-11832.966666666667,0.16454637066122535,10.153973156513928,-12.81005859375,2.290346833199178,-0.4828580989243074,0.6148471530706847
ES,3.0391304347826087,0.024326508439957206,0.08419786449914635,-5.095435684647303,-12326.0125,0.10205437316208374,-3.1664471374444543,-0.75,-1.049394870845368,-0.500341564851272,-2.585137776189822
PSX,2.8876651982378854,0.051068909614125774,0.01570909696562142,-5.481327800829876,-12323.35,0.008032301158008286,4.25534735937962,6.5099945068359375,6.321967620089379,-0.4861607762709737,-0.6192849957589841
NEM,2.8552631578947367,-0.056941808737546576,0.11256020535286387,-4.560165975103734,-12380.4875,0.11786841614923237,-7.4313214186418,-1.0499954223632812,0.04641188926620676,-0.4663612593414273,-4.364845440548253
EW,3.0088495575221237,-0.019678818817915698,0.10042453908032428,-5.049792531120332,-11709.425,0.11115156183312493,-8.95133423783851,-1.9500045776367188,-7.07505543211186,-0.4892121634502141,1.9335328992399925
ETN,3.1194690265486726,0.07412121015848978,0.03610199981735986,-5.5850622406639,-12158.654166666667,0.06981231332268686,7.407752725118836,42.239959716796875,3.200792080381395,-0.5188307400912497,3.9697661986038364
HUM,3.079646017699115,0.017474019188858013,0.09770171796681687,-5.352697095435684,-12734.15,0.061828344521417083,19.7179784419026,58.199981689453125,-0.014017383404625489,-0.4791467804292703,-2.264756164805627
ECL,3.066371681415929,-0.11201202954746171,0.1525883891952587,-5.062240663900415,-12791.225,0.14998668712206245,-4.942804149991123,-10.67999267578125,-17.027807740856606,-0.49657384746026034,-1.0062746204955613
AMAT,2.933628318584071,0.0968144557228991,0.10104545959345852,-5.012448132780083,-12662.720833333333,0.09804170722346048,-0.03589826693583959,26.189987182617188,-3.5107597947854057,-0.48589466950487537,-4.489273267754157
EL,2.995575221238938,0.011568227092919695,-0.019154256359721133,-4.83402489626556,-11918.720833333333,0.01930921765556004,-1.9110556620809946,25.349990844726562,-2.700190387223718,-0.4886728137026681,6.867305113622669
